name,lat,lng,desc,link,type,country_en
白俄罗斯 - 斯特鲁维大地测量弧,45.3325962000,28.9278807000,"斯特鲁维弧线是一系列三角测量链，从挪威哈默菲斯特延伸至黑海，穿越 10 个国家，全长超过 2,820 公里。这些是天文学家弗里德里希·格奥尔格·威廉·斯特鲁维 (Friedrich Georg Wilhelm Struve) 于 1816 年至 1855 年间进行的一项调查的要点，该调查代表了对一段长子午线的首次精确测量。这有助于确定地球的确切大小和形状，标志着地球科学和地形测绘发展的重要一步。这是...",https://whc.unesco.org/en/list/1187,building,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine"
白俄罗斯 - 比亚沃维扎森林,52.7275000000,23.8991666667,"比亚沃维耶扎森林世界遗产地位于波兰和白俄罗斯边境，是一片广阔的原始森林，包括针叶树和阔叶树，总面积达 141,885 公顷。这一跨界遗产位于波罗的海和黑海的分水岭上，为生物多样性保护提供了特殊的机会。这里是该地产标志性物种欧洲野牛数量最多的家园。...",https://whc.unesco.org/en/list/33,nature,"Belarus,Poland"
Belgium，France - Belfries of Belgium and France,49.8958333333,2.2963888889,"Twenty-three belfries in the north of France and the belfry of Gembloux in Belgium were inscribed in 2005, as an extension to the 32 Belgian belfries inscribed in 1999 as Belfries of Flanders and Wallonia. Built between the 11th and 17th centuries, they showcase the Roman, Gothic, Renaissance and Baroque styles of architecture. They are highly significant tokens of the winning of civil liberties. While Italian, German and English towns mainly opted to build town halls, in part of north-western Europe, greater emphasis was placed on building belfries. Compared with the keep (symbol of the seigneurs) and the bell-tower (symbol of the Church), the belfry, the third tower in the urban landscape, symbolizes the power of the aldermen. Over the centuries, they came to represent the influence and wealth of the towns.",https://whc.unesco.org/en/list/943,building,"Belgium,France"
比利时 - 仁慈的殖民地,51.4028305556,4.8243055556,The transnational serial property is an Enlightenment experiment in social reform.这些文化景观展示了一种创新的、极具影响力的 19 世纪救济穷人和定居者殖民主义模式，今天被称为农业国内殖民地。该地产包括四个慈善殖民地，分为三个部分：荷兰的 Frederiksoord-Wilhelminaoord 和 Veenhuizen 以及比利时的 Wortel。 Together they bear witness to a 19th century experiment i...,https://whc.unesco.org/en/list/1555,building,"Belgium,Netherlands (Kingdom of the)"
贝宁 - W-Arly-Pendjari 复合体,11.8841666667,2.6544444444,尼日尔 W 国家公园的跨国延伸（贝宁、布基纳法索）于 1996 年被列入世界遗产名录，覆盖了大片完整的苏丹-萨赫勒稀树草原，植被类型包括草原、灌木地、树木繁茂的稀树草原和广阔的长廊森林。它包括西非大草原带最大和最重要的陆地、半水生和水生生态系统的连续体。该地产是已经消失的野生动物物种的避难所...,https://whc.unesco.org/en/list/749,nature,"Benin,Burkina Faso,Niger"
贝宁 - 库塔马库，巴塔马里巴人的土地,10.0666666667,1.1333333333,多哥东北部和邻国贝宁的库塔马库 (Koutammakou) 地区是巴塔马里巴人 (Batammariba) 的故乡，其引人注目的泥塔房屋被称为塔基恩塔 (takienta，复数形式为 sikien)。自然与这里的社会仪式和信仰密切相关。由于反映社会结构的塔楼建筑，景观非常独特。其农田和森林；以及人与景观之间的关联。这些建筑物集中在村庄中，其中还包括 ce...,https://whc.unesco.org/en/list/1140,building,"Benin,Togo"
波斯尼亚和黑塞哥维那 - 斯特奇中世纪墓碑墓地,42.5417833333,18.4223805556,该系列遗产由位于波斯尼亚和黑塞哥维那、塞尔维亚西部、黑山西部以及克罗地亚中部和南部的 28 个遗址组成，代表了这些墓地和具有地区特色的中世纪墓碑（或称 stećci）。这些墓地的历史可追溯至公元 12 世纪至 16 世纪，按照中世纪欧洲的常见习俗，按行排列。 stećci 大多由石灰石雕刻而成。它们具有广泛的装饰图案和铭文，代表着我...,https://whc.unesco.org/en/list/1504,building,"Bosnia and Herzegovina,Croatia,Montenegro,Serbia"
喀麦隆 - 三国僧伽,2.3672222223,15.8141666667,"该地区位于喀麦隆、中非共和国和刚果三国交界处的刚果盆地西北部，包括三个相连的国家公园，总面积约 750,000 公顷。该地区的大部分地区未受到人类活动的影响，拥有广泛的潮湿热带森林生态系统，拥有丰富的动植物群，包括尼罗河鳄鱼和大型捕食者虎鱼。森林空地支持草本物种，桑加是大量森林象的家园，...",https://whc.unesco.org/en/list/1380,nature,"Cameroon,Central African Republic,Congo"
加拿大 - 沃特顿冰川国际和平公园,48.7560555556,-113.7797777780,1932 年，沃特顿湖国家公园（加拿大艾伯塔省）与冰川国家公园（美国蒙大拿州）合并，形成世界上第一个国际和平公园。该公园地处两国边境，风景优美，植物和哺乳动物物种极其丰富，还有草原、森林、高山和冰川景观。...,https://whc.unesco.org/en/list/354,nature,"Canada,United States of America"
中国 - 丝绸之路：长安天山走廊的路网,33.1588888889,107.2911111110,"该地产是广阔的丝绸之路网络中的一段 5,000 公里的路段，从中国汉唐时期的中心首都长安/洛阳一直延伸到中亚的七河地区。它形成于公元前2世纪至公元1世纪，一直沿用至16世纪，连接着多种文明，促进了贸易、宗教信仰、科学知识、技术创新、文化习俗和社会活动等方面的广泛交流。...",https://whc.unesco.org/en/list/1442,building,"China,Kazakhstan,Kyrgyzstan"
哥斯达黎加 - 塔拉曼卡山脉-拉阿米斯塔保护区/拉阿米斯塔国家公园,9.4070833330,-82.9388055600,这个位于中美洲的独特地点，第四纪冰川在这里留下了印记，使得北美和南美的动植物群得以杂交。热带雨林覆盖了大部分地区。四个不同的印第安部落居住在这片土地上，这得益于哥斯达黎加和巴拿马之间的密切合作。...,https://whc.unesco.org/en/list/205,nature,"Costa Rica,Panama"
科特迪瓦 - 宁巴山严格自然保护区,7.6031800000,-8.3909700000,宁巴山位于几内亚、利比里亚和科特迪瓦的边界，高耸于周围的大草原之上。它的山坡上覆盖着茂密的森林，山脚下是青草如茵的牧场。它们拥有特别丰富的动植物群，其中有胎生蟾蜍和使用石头作为工具的黑猩猩等特有物种。...,https://whc.unesco.org/en/list/155,nature,"Côte d'Ivoire,Guinea"
克罗地亚 - 16 世纪和 17 世纪之间的威尼斯防御工事：<em>Stato da Terra</em> – 西部<em>Stato da Mar</em>,42.4236111111,18.7719444444,该建筑由位于意大利、克罗地亚和黑山的6个防御工事组成，横跨意大利伦巴第地区和亚得里亚海东部海岸之间1000多公里。整个大地的防御工事保护了威尼斯共和国免受西北部其他欧洲列强的侵害，而海洋国家的防御工事则保护了从亚得里亚海到黎凡特的海上航线和港口。它们对于支持塞雷尼西玛的扩张和权威是必要的。简介...,https://whc.unesco.org/en/list/1533,building,"Croatia,Italy,Montenegro"
捷克 - 埃尔士山脉/克鲁什诺霍日矿区,50.3289555556,12.9534083333,厄尔士山脉/克鲁什诺霍日（矿石山脉）横跨德国东南部（萨克森）和捷克西北部的一个地区，该地区蕴藏着从中世纪以来通过采矿开采的多种金属财富。从 1460 年到 1560 年，该地区成为欧洲最重要的银矿石来源。采矿业是技术和科学创新向全球转移的触发因素。历史上，锡是在该地点开采和加工的第二种金属。 19世纪末...,https://whc.unesco.org/en/list/1478,building,"Czechia,Germany"
丹麦 - 瓦登海,53.2752777778,7.1636111111,瓦登海是世界上最大的完整的潮间带沙地和泥滩系统。该保护区覆盖荷兰瓦登海保护区、德国下萨克森州和石勒苏益格-荷尔斯泰因州瓦登海国家公园以及丹麦瓦登海海洋保护区的大部分地区。它是一个大型、温带、相对平坦的沿海湿地环境，是由物理和生物因素之间复杂的相互作用形成的，这些因素产生了众多的过渡性栖息地。...,https://whc.unesco.org/en/list/1314,nature,"Denmark,Germany,Netherlands (Kingdom of the)"
丹麦 - 摩拉维亚教堂定居点,40.6191666667,-75.3808333334,这一跨国系列财产包括四个国家的四个公理会定居点，代表了国际摩拉维亚社区作为摩拉维亚教会全球网络的跨国范围和一致性：克里斯蒂安斯菲尔德（丹麦）、赫恩胡特（德国）、格雷斯希尔（大不列颠及北爱尔兰联合王国）和伯利恒（美利坚合众国）。这些定居点是根据反映莫代人理想的总体规划原则建立的。...,https://whc.unesco.org/en/list/1468,building,"Denmark,Germany,United Kingdom of Great Britain and Northern Ireland,United States of America"
芬兰 - 高海岸/瓦尔肯群岛,62.9666666667,20.9500000000,"瓦尔肯群岛（芬兰）和高海岸（瑞典）位于波的尼亚湾，波罗的海的北部延伸。瓦尔肯群岛的 5,600 个岛屿拥有不寻常的脊状洗衣板冰碛，即“德吉尔冰碛”，是由 10,000 至 24,000 年前大陆冰盖融化形成的。在快速的冰川均衡抬升过程中，群岛不断从海平面升起，从而使先前受到重力作用的陆地...",https://whc.unesco.org/en/list/898,nature,"Finland,Sweden"
法国 - 比利牛斯山脉 - Mont Perdu,42.6854200000,-0.0005000000,"这片壮丽的山地景观横跨当代法国和西班牙的国界，以 Perdu 山峰为中心，这是一座海拔 3,352 m 的钙质山体。该遗址总面积为 30,639 公顷，包括位于西班牙一侧的欧洲最大和最深的两个峡谷，以及位于法国一侧较为陡峭的北坡上的三个主要冰斗墙，这些地质地貌的经典呈现。该地点也是反映农业的田园景观...",https://whc.unesco.org/en/list/773,mountain,"France,Spain"
冈比亚 - 塞内冈比亚的石圈,13.6833333333,-15.5166666667,"该遗址由四大石圈组成，沿着冈比亚河约 350 公里长，宽 100 公里，集中了 1,000 多座纪念碑。这四个石群（Sine Ngayène、Wanar、Wassu 和 Kerbatch）覆盖了 93 个石圈和众多古墓、墓葬，其中一些墓葬已被挖掘，揭示出的材料表明其年代为公元前 3 世纪至公元 16 世纪。红土柱石圈及其相关的坟丘...",https://whc.unesco.org/en/list/1226,building,"Gambia,Senegal"
德国 - 罗马帝国的边境——德意志下界,50.5780000000,7.2340000000,"这一跨国财产沿着莱茵河下游左岸，从德国莱茵河地块到荷兰北海海岸，全长约 400 公里，由来自罗马帝国边境一部分的 102 个部分组成，在公元 2 世纪，横跨欧洲、近东和北非，绵延 7,500 多公里。该地产包括军事和民用遗址以及基础设施，从 1 世纪到 5 世纪标志着下德国的边缘...",https://whc.unesco.org/en/list/1631,building,"Germany,Netherlands (Kingdom of the)"
德国 - 穆斯考尔公园 / 穆扎科斯基公园,51.5476530000,14.7293890000,该公园占地 559.9 公顷，横跨尼斯河和波兰与德国边境，由赫尔曼·冯·帕克勒-穆斯考 (Hermann von Puckler-Muskau) 王子于 1815 年至 1844 年创建。该公园与周围的农业景观无缝融合，开创了景观设计的新方法，影响了欧洲和美国景观设计的发展。它被设计成一幅“植物画”，并没有试图唤起古典风景、天堂或一些失去的完美，而是使用了当地的元素...,https://whc.unesco.org/en/list/1127,building,"Germany,Poland"
德国 - 罗马帝国的边境,48.7864060000,9.7786070000,“罗马石灰线”代表了公元 2 世纪罗马帝国最大范围的边界线。它从英国北部的大西洋海岸绵延5000多公里，穿过欧洲到达黑海，再从那里到达红海，穿过北非到达大西洋海岸。如今，石灰区的遗迹包括已建的城墙、沟渠、堡垒、要塞、瞭望塔和平民定居点的遗迹。该线路的某些部分已被挖掘，一些已重建，还有一些...,https://whc.unesco.org/en/list/430,building,"Germany,United Kingdom of Great Britain and Northern Ireland"
教廷 - 罗马历史中心、罗马教廷在该城市享有治外法权的财产和圣保罗福里勒穆拉 (San Paolo Fuori le Mura),41.8580560000,12.4761110000,据传说，罗马由罗穆卢斯和雷穆斯于公元前 753 年建立，首先是罗马共和国的中心，然后是罗马帝国的中心，并在 4 世纪成为基督教世界的首都。世界遗产地于 1990 年扩展到乌尔班八世城墙，包括一些主要的古代古迹，如论坛、奥古斯都陵墓、哈德良陵墓、万神殿、图拉真纪念柱和马可·奥勒留纪念柱，以及宗教和公共场所...,https://whc.unesco.org/en/list/91,building,"Holy See,Italy"
匈牙利 - 阿格泰莱克喀斯特和斯洛伐克喀斯特洞穴,48.3632185937,20.6255304505,地层类型多样且集中分布于有限区域，这意味着目前已发现的712个洞穴构成了典型的温带喀斯特系统。由于它们表现出极其罕见的热带和冰川气候效应组合，因此可以研究数千万年的地质历史。...,https://whc.unesco.org/en/list/725,nature,"Hungary,Slovakia"
意大利 - 阿尔布拉/伯尔尼纳景观中的雷蒂亚铁路,46.4983333333,9.8463888889,阿尔布拉/伯尔尼纳景观中的雷蒂亚铁路汇集了两条历史悠久的铁路线，通过两个山口穿越瑞士阿尔卑斯山。位于该地产西北部的阿尔布拉线于 1904 年开通，全长 67 公里。它拥有令人印象深刻的建筑群，包括 42 条隧道和带顶棚的画廊以及 144 座高架桥和桥梁。伯尔尼纳山口线全长 61 公里，有 13 条隧道和画廊以及 52 座高架桥和桥梁。该物业是利用铁路进行过度投资的典范...,https://whc.unesco.org/en/list/1276,building,"Italy,Switzerland"
意大利 - 圣乔治山,45.9020000000,8.9230000000,卢加诺湖畔的金字塔形、树木繁茂的圣乔治山被认为是三叠纪时期（245-2.3 亿年前）海洋生物的最佳化石记录。该序列记录了热带泻湖环境中的生命，该环境受到近海珊瑚礁的庇护，并与公海部分隔离。这个泻湖内繁盛着多种海洋生物，包括爬行动物、鱼类、双壳类、菊石、棘皮动物和甲壳类动物。由于泻湖靠近陆地，遗迹还包括...,https://whc.unesco.org/en/list/1090,nature,"Italy,Switzerland"
哈萨克斯坦 - 西天山,41.2100000000,69.9341666667,"该跨国地产位于天山山脉，世界上最大的山脉之一。西天山海拔700米至4,503米。它拥有多样化的景观，拥有极其丰富的生物多样性。作为多种栽培水果作物的原产地，它具有全球重要性，并且拥有多种森林类型和独特的植物群落协会。...",https://whc.unesco.org/en/list/1490,nature,"Kazakhstan,Kyrgyzstan,Uzbekistan"
哈萨克斯坦 - 图兰寒冷的冬季沙漠,38.6016666667,63.2502777778,"这一跨国财产包括在里海和图兰尼亚高山之间的中亚温带干旱地区发现的十四个组成部分。该地区遭受极端气候条件的影响，冬季寒冷，夏季炎热，拥有适应恶劣条件的极其多样化的动植物群。该地产还代表了沙漠生态系统的相当多样性，从东到西跨越了 1,500 多公里的距离。...",https://whc.unesco.org/en/list/1693,nature,"Kazakhstan,Turkmenistan,Uzbekistan"
老挝人民民主共和国 - Phong Nha-Ke Bang 国家公园和 Hin Nam No 国家公园,17.3755555556,105.8841666670,这个跨境遗产位于越南和老挝人民民主共和国之间的边界，形成了世界上最独特、保存最完好的石灰岩喀斯特景观之一。该地区的喀斯特地貌在距今约4亿年前的古生代时期就开始发育，是亚洲最古老的大型喀斯特系统。它拥有引人注目的悬崖、深深的天坑和广阔的地下河网络。超过 220 公里的洞穴和地下...,https://whc.unesco.org/en/list/951,nature,"Lao People's Democratic Republic,Viet Nam"
莱索托 - 马洛蒂-德拉肯斯堡公园,-29.3833300000,29.5405600000,马洛蒂-德拉肯斯堡公园是一个跨国财产，由南非的 uKhahlamba Drakensberg 国家公园和莱索托的 Sehlathebe 国家公园组成。该遗址拥有高耸的玄武岩扶壁、锐利的戏剧性削减、金色砂岩城墙以及视觉上壮观的雕刻拱门、洞穴、悬崖、柱子和岩石池，拥有非凡的自然美景。该地区栖息地的多样性保护了高水平的特有和全球重要的植物。现场...,https://whc.unesco.org/en/list/985,mountain,"Lesotho,South Africa"
立陶宛 - 库尔斯沙嘴,55.2745800000,20.9623900000,这个长 98 公里、宽 0.4-4 公里的细长沙丘半岛早在史前时期就有人类居住。在此期间，它一直受到风浪自然力量的威胁。它之所以能够生存到今天，完全是人类不断努力对抗沙嘴侵蚀的结果，持续的稳定和重新造林项目就充分说明了这一点。...,https://whc.unesco.org/en/list/994,building,"Lithuania,Russian Federation"
蒙古 - 乌布苏努尔盆地,49.7666666667,91.3666666667,"乌布苏努尔盆地（1,068,853 公顷）是中亚最北端的封闭盆地。它得名于乌布苏努尔湖，这是一个大而浅且盐分很高的湖泊，对候鸟、水禽和海鸟非常重要。该遗址由代表欧亚大陆东部主要生物群落的十二个保护区组成。草原生态系统孕育着丰富多样的鸟类，沙漠是许多稀有沙鼠、跳鼠和大理石鸡貂的家园。山是重要的避难所...",https://whc.unesco.org/en/list/769,nature,"Mongolia,Russian Federation"
蒙古 - 达乌尔的风景,49.2666666667,113.7500000000,该遗址由蒙古和俄罗斯联邦共享，是达斡尔草原生态区的杰出范例，该生态区从蒙古东部延伸到俄罗斯西伯利亚和中国东北部。具有明显干湿期的周期性气候变化导致了具有全球意义的物种和生态系统的广泛多样性。不同类型的草原生态系统，如草原和森林，以及湖泊和湿地，是稀有动物物种的栖息地，例如...,https://whc.unesco.org/en/list/1448,nature,"Mongolia,Russian Federation"
莫桑比克 - 伊西曼格利索湿地公园 – 马普托国家公园,-26.4363888889,32.8705555556,这个大型且生态多样化的跨境财产位于南非和莫桑比克边境，包括各种各样的生态系统，如珊瑚礁、沙滩、沿海沙丘、淡水湖、沼泽、红树林、海草床和稀树草原。这些环境基本上完好无损，支持高水平的生物多样性。该地产为许多物种提供了重要的栖息地，包括筑巢的海龟、海豚、迁徙的鲸鱼、鲸鲨和大量种群。...,https://whc.unesco.org/en/list/914,nature,"Mozambique,South Africa"
波兰 - 波兰和乌克兰喀尔巴阡地区的木制<em>Tserkvas</em>,48.2551388889,24.3445833333,该跨国财产位于中欧东部边缘，共有十六座教堂。它们是在 16 世纪和 19 世纪之间由东正教和希腊天主教信仰社区用水平木原木建造的。采尔克瓦见证了植根于东正教教会设计的独特建筑传统，与当地传统元素交织在一起，并象征性地引用了其社区的建筑风格。宇宙演化论.&n...,https://whc.unesco.org/en/list/1424,building,"Poland,Ukraine"
葡萄牙 - Côa Valley 和 Siega Verde 的史前岩石艺术遗址,40.6975000000,-6.6611111111,"科阿谷（葡萄牙）和西耶加维德（西班牙）的两处史前岩石艺术遗址位于杜罗河支流阿格达河和科阿河河畔，记录了从旧石器时代末期以来人类的持续居住。数百块镶板上刻有数千个动物形象（福斯科阿有 5,000 个，西加维德约有 440 个），历经数千年雕刻而成，代表了伊比利亚半岛最引人注目的露天旧石器时代艺术群。科阿谷和...",https://whc.unesco.org/en/list/866,building,"Portugal,Spain"
斯洛文尼亚 - 水星的遗产。阿尔马登和伊德里亚,38.7718055556,-4.8341666667,该矿区包括阿尔马登（西班牙）矿区和伊德里亚（斯洛文尼亚）矿区，自古以来人们就在那里提取汞（水银），而伊德里亚（斯洛文尼亚）矿区在公元 1490 年首次发现了汞。西班牙遗产包括与其采矿历史相关的建筑物，包括雷塔马尔城堡、宗教建筑和传统住宅。伊德里亚的遗址以水银商店和基础设施、矿工居住区和矿工剧院为特色。这些地点见证了国际间的冲突...,https://whc.unesco.org/en/list/1313,building,"Slovenia,Spain"
塔吉克斯坦 - 丝绸之路：扎拉夫尚-卡拉库姆走廊,37.9214555556,62.2080888889,扎拉夫尚-卡拉库姆走廊是中亚丝绸之路的关键路段，从四面八方连接其他走廊。这条长866公里的走廊坐落在崎岖的山脉、肥沃的河谷和不适宜居住的沙漠中，沿着扎拉夫山河自东向西延伸，沿着古老的商队道路穿过卡拉库姆沙漠到达梅尔夫绿洲。从公元前 2 世纪到 16 世纪，沿着丝绸之路进行了大部分东西方交流...,https://whc.unesco.org/en/list/1675,building,"Tajikistan,Turkmenistan,Uzbekistan"
赞比亚 - 莫西奥图尼亚 / 维多利亚瀑布,-17.9245300000,25.8553900000,这些是世界上最壮观的瀑布之一。赞比西河此时宽度超过 2 公里，从一系列玄武岩峡谷中奔流而下，扬起彩虹色的薄雾，20 多公里外都能看到。...,https://whc.unesco.org/en/list/509,nature,"Zambia,Zimbabwe"
阿富汗 - 巴米扬山谷文化景观和考古遗迹,34.8109722222,66.8435277778,巴米扬山谷的文化景观和考古遗迹代表了古代巴赫特里亚从 1 世纪到 13 世纪的艺术和宗教发展，将各种文化影响融入了犍陀罗佛教艺术流派。该地区拥有众多佛教寺院群和圣所，以及伊斯兰时期的防御建筑。该遗址还见证了塔利班对两尊佛像的悲惨破坏。...,https://whc.unesco.org/en/list/208,building,Afghanistan
阿富汗 - 贾姆尖塔和考古遗迹,34.3964166667,64.5158888889,贾姆尖塔高 65m，是一座优雅、高耸的建筑，其历史可追溯至 12 世纪。它覆盖着精致的砖砌结构，顶部有蓝色瓷砖铭文，其建筑和装饰的质量值得注意，代表了该地区建筑和艺术传统的顶峰。古尔省中心地区高耸山脉之间的深河谷，其引人注目的环境增强了其影响力。...,https://whc.unesco.org/en/list/211,building,Afghanistan
阿尔巴尼亚 - 布特林特,39.7457320000,20.0209500000,布特林特自史前时代起就有人居住，曾是希腊殖民地、罗马城市和主教辖区的所在地。在拜占庭统治下经历了一段繁荣时期，然后被威尼斯人短暂占领后，这座城市在中世纪晚期因该地区形成沼泽而被废弃。现在的考古遗址是代表城市发展各个时期的遗址宝库。...,https://whc.unesco.org/en/list/570,building,Albania
阿尔巴尼亚 - 培拉特和吉诺卡斯特历史中心,40.0741666667,20.1408333333,培拉特和吉诺卡斯特被列为奥斯曼帝国时期典型建筑特色的罕见例子。培拉特位于阿尔巴尼亚中部，见证了几个世纪以来各种宗教和文化社区的共存。它有一座城堡，当地人称为卡拉，大部分建于 13 世纪，但其起源可以追溯到公元前 4 世纪。城堡区有许多拜占庭式教堂，主要建于 13 世纪，还有几座清真寺...,https://whc.unesco.org/en/list/569,building,Albania
阿尔及利亚 - 贝尼·哈马德的卡拉,35.8184400000,4.7868400000,哈马迪埃米尔的第一个首都废墟位于风景秀丽的山区，该遗址始建于 1007 年，并于 1152 年被拆除，展现了一座穆斯林堡垒城市的真实面貌。该清真寺的祈祷室有 13 条过道和 8 个隔间，是阿尔及利亚最大的清真寺之一。...,https://whc.unesco.org/en/list/102,building,Algeria
阿尔及利亚 - 塔西里·阿杰尔,25.5000000000,9.0000000000,"该遗址位于具有巨大地质意义的奇怪月球景观中，拥有世界上最重要的史前洞穴艺术群之一。超过 15,000 幅图画和版画记录了从公元前 6000 年到当今第一个世纪，撒哈拉沙漠边缘的气候变化、动物迁徙和人类生活的演变。地质构造具有突出的景观价值，被侵蚀的砂岩形成“岩石森林”。...",https://whc.unesco.org/en/list/179,mountain,Algeria
阿尔及利亚 - 姆扎卜山谷,32.4717222222,3.7516666667,10 世纪，伊巴德人在他们的五个 ksour（防御城市）周围创建了一个传统的人类栖息地，如今在姆扎布山谷中完好无损地保存下来。 M’Zab 的建筑简单、实用且完美适应环境，专为社区生活而设计，同时尊重家庭结构。它是当今城市规划者的灵感源泉。...,https://whc.unesco.org/en/list/188,building,Algeria
